"","refshort","patch_type","diversity_index","diversity_value"
"87","Bossart_2016","fragmented","gamma_2_q0",74.2984729139555
"88","Bossart_2016","fragmented","gamma_2_q2",16.3759652140092
"89","Bossart_2016","continuous","gamma_2_q0",102.586851605869
"90","Bossart_2016","continuous","gamma_2_q2",19.7737179205694
"91","Bragagnolo_2007","continuous","alphaC",13.8508969681073
"92","Bragagnolo_2007","continuous","alphaC2",3.99325420730323
"93","Bragagnolo_2007","continuous","beta_C",1.25969160118331
"94","Bragagnolo_2007","fragmented","alphaC",6.53322824143957
"95","Bragagnolo_2007","fragmented","alphaC2",2.09750865667285
"96","Bragagnolo_2007","fragmented","beta_C",1.27302275330098
"97","Bragagnolo_2007","fragmented","gamma_2_q0",8.61200356859117
"98","Bragagnolo_2007","fragmented","gamma_2_q2",2.32547411641592
"99","Bragagnolo_2007","continuous","gamma_2_q0",18.8337482373026
"100","Bragagnolo_2007","continuous","gamma_2_q2",4.09886660091674
"101","Cayuela_2006","continuous","alphaC",33.0672389807544
"102","Cayuela_2006","continuous","alphaC2",11.3428900603591
"103","Cayuela_2006","continuous","beta_C",2.40199185116169
"104","Cayuela_2006","fragmented","alphaC",29.7384053135707
"105","Cayuela_2006","fragmented","alphaC2",10.2912198542265
"106","Cayuela_2006","fragmented","beta_C",2.38644441738245
"107","Cayuela_2006","fragmented","gamma_2_q0",55.4329010089134
"108","Cayuela_2006","fragmented","gamma_2_q2",17.1222601240447
"109","Cayuela_2006","continuous","gamma_2_q0",59.0247979906419
"110","Cayuela_2006","continuous","gamma_2_q2",15.2067870465499
"111","Chiarello_1999","continuous","alphaC",11.766435167953
"112","Chiarello_1999","continuous","alphaC2",4.51907447341534
"113","Chiarello_1999","continuous","beta_C",0.991079064438103
"114","Chiarello_1999","fragmented","alphaC",14.4202258109114
"115","Chiarello_1999","fragmented","alphaC2",3.09282653051683
"116","Chiarello_1999","fragmented","beta_C",1.22182228251781
"117","Chiarello_1999","fragmented","gamma_2_q0",17.7060188681813
"118","Chiarello_1999","fragmented","gamma_2_q2",3.62429312438373
"119","Chiarello_1999","continuous","gamma_2_q0",10.3300074979004
"120","Chiarello_1999","continuous","gamma_2_q2",4.67692119162559
"121","Develey_2004","continuous","alphaC",57.8812747960835
"122","Develey_2004","continuous","alphaC2",33.2672689287205
"123","Develey_2004","continuous","beta_C",1.17394769807792
"124","Develey_2004","fragmented","alphaC",44.3363476970944
"125","Develey_2004","fragmented","alphaC2",26.0220504441776
"126","Develey_2004","fragmented","beta_C",1.23990415094351
"127","Develey_2004","fragmented","gamma_2_q0",57.291410227071
"128","Develey_2004","fragmented","gamma_2_q2",30.409571926848
"129","Develey_2004","continuous","gamma_2_q0",81.2202331706176
"130","Develey_2004","continuous","gamma_2_q2",38.2678442201724
"131","Didham_1999","continuous","alphaC",36.0253585043502
"132","Didham_1999","continuous","alphaC2",22.0248716698406
"133","Didham_1999","continuous","beta_C",1.23576613208164
"134","Didham_1999","fragmented","alphaC",47.187548706969
"135","Didham_1999","fragmented","alphaC2",28.211544242942
"136","Didham_1999","fragmented","beta_C",1.29494153923774
"137","Didham_1999","fragmented","gamma_2_q0",123.557181886739
"138","Didham_1999","fragmented","gamma_2_q2",48.1861965225786
"139","Didham_1999","continuous","gamma_2_q0",99.6853027407881
"140","Didham_1999","continuous","gamma_2_q2",37.7852984399162
"141","Fujita_2008","continuous","alphaC",6.18308980417077
"142","Fujita_2008","continuous","alphaC2",3.62307986969172
"143","Fujita_2008","continuous","beta_C",1.44411053720925
"144","Fujita_2008","fragmented","alphaC",3.72946161010923
"145","Fujita_2008","fragmented","alphaC2",1.67216814682448
"146","Fujita_2008","fragmented","beta_C",1.39907522411838
"147","Fujita_2008","fragmented","gamma_2_q0",6.59559316368301
"148","Fujita_2008","fragmented","gamma_2_q2",2.03579799446435
"149","Fujita_2008","continuous","gamma_2_q0",11.5210458730758
"150","Fujita_2008","continuous","gamma_2_q2",5.08209328543032
"151","Garmendia_etal_2013","continuous","alphaC",3.63381792603639
"152","Garmendia_etal_2013","continuous","alphaC2",2.89964122894084
"153","Garmendia_etal_2013","continuous","beta_C",1.08585916386684
"154","Garmendia_etal_2013","fragmented","alphaC",4.01446941573717
"155","Garmendia_etal_2013","fragmented","alphaC2",3.61197938378489
"156","Garmendia_etal_2013","fragmented","beta_C",1.06360598159624
"157","Garmendia_etal_2013","fragmented","gamma_2_q0",4.23109993489473
"158","Garmendia_etal_2013","fragmented","gamma_2_q2",3.48559556790742
"159","Garmendia_etal_2013","continuous","gamma_2_q0",3.9182723464192
"160","Garmendia_etal_2013","continuous","gamma_2_q2",3.23832475335122
"161","Gaublomme_2008","continuous","alphaC",62.5140599369213
"162","Gaublomme_2008","continuous","alphaC2",11.6694015799689
"163","Gaublomme_2008","continuous","beta_C",1.09436668851058
"164","Gaublomme_2008","fragmented","alphaC",28.429436271678
"165","Gaublomme_2008","fragmented","alphaC2",3.43225745493559
"166","Gaublomme_2008","fragmented","beta_C",1.69244280496694
"167","Gaublomme_2008","fragmented","gamma_2_q0",45.3334320856617
"168","Gaublomme_2008","fragmented","gamma_2_q2",3.43899922869823
"169","Gaublomme_2008","continuous","gamma_2_q0",84.5898407712423
"170","Gaublomme_2008","continuous","gamma_2_q2",14.2690400758485
"171","Gibb_2002","continuous","alphaC",16.9622934671704
"172","Gibb_2002","continuous","alphaC2",6.61634623490082
"173","Gibb_2002","continuous","beta_C",1.18515709574583
"174","Gibb_2002","fragmented","alphaC",7.69255405381253
"175","Gibb_2002","fragmented","alphaC2",3.38223194589543
"176","Gibb_2002","fragmented","beta_C",1.42505790770656
"177","Gibb_2002","fragmented","gamma_2_q0",17.3205063849774
"178","Gibb_2002","fragmented","gamma_2_q2",4.07590895242969
"179","Gibb_2002","continuous","gamma_2_q0",35.2499661226346
"180","Gibb_2002","continuous","gamma_2_q2",10.2514041100812
"181","Goodman_2000","continuous","alphaC",4.19173954257474
"182","Goodman_2000","continuous","alphaC2",2.93297160896495
"183","Goodman_2000","continuous","beta_C",1.13424497617219
"184","Goodman_2000","fragmented","alphaC",3.91760749198713
"185","Goodman_2000","fragmented","alphaC2",2.1716113121387
"186","Goodman_2000","fragmented","beta_C",1.0283948453325
"187","Goodman_2000","fragmented","gamma_2_q0",5.30026690391811
"188","Goodman_2000","fragmented","gamma_2_q2",2.45687437819522
"189","Goodman_2000","continuous","gamma_2_q0",7.15249853659139
"190","Goodman_2000","continuous","gamma_2_q2",3.45273270713275
"191","Lima_1999_a","continuous","alphaC",4.06687167801715
"192","Lima_1999_a","continuous","alphaC2",2.72529343158917
"193","Lima_1999_a","continuous","beta_C",1.33057026963196
"194","Lima_1999_a","fragmented","alphaC",5.21761307725335
"195","Lima_1999_a","fragmented","alphaC2",2.71989521880752
"196","Lima_1999_a","fragmented","beta_C",1.21066388863897
"197","Lima_1999_a","fragmented","gamma_2_q0",8.27185164782904
"198","Lima_1999_a","fragmented","gamma_2_q2",2.98548043295876
"199","Lima_1999_a","continuous","gamma_2_q0",5.63100223254342
"200","Lima_1999_a","continuous","gamma_2_q2",3.05036390268963
"201","Lima_1999_b","continuous","alphaC",3.72166906264439
"202","Lima_1999_b","continuous","alphaC2",3.06037585490608
"203","Lima_1999_b","continuous","beta_C",1.1450440068491
"204","Lima_1999_b","fragmented","alphaC",4.08986495949194
"205","Lima_1999_b","fragmented","alphaC2",3.29407771875243
"206","Lima_1999_b","fragmented","beta_C",1.31712094181528
"207","Lima_1999_b","fragmented","gamma_2_q0",9.59099285708536
"208","Lima_1999_b","fragmented","gamma_2_q2",6.20854352913508
"209","Lima_1999_b","continuous","gamma_2_q0",8.15566329376007
"210","Lima_1999_b","continuous","gamma_2_q2",5.14569344253379
"211","Magnago_2015","continuous","alphaC",5.74794851645712
"212","Magnago_2015","continuous","alphaC2",5.47921100184151
"213","Magnago_2015","continuous","beta_C",1.1083959831836
"214","Magnago_2015","fragmented","alphaC",6.48798786312297
"215","Magnago_2015","fragmented","alphaC2",6.2564655594529
"216","Magnago_2015","fragmented","beta_C",1.13039573928296
"217","Magnago_2015","fragmented","gamma_2_q0",4.53918349742867
"218","Magnago_2015","fragmented","gamma_2_q2",4.39115118625726
"219","Magnago_2015","continuous","gamma_2_q0",4.12583326180281
"220","Magnago_2015","continuous","gamma_2_q2",3.99252375183536
"221","Montgomery_2014","continuous","alphaC",10.6353344249926
"222","Montgomery_2014","continuous","alphaC2",4.84210224341667
"223","Montgomery_2014","continuous","beta_C",1.09655679526824
"224","Montgomery_2014","fragmented","alphaC",6.39412213392676
"225","Montgomery_2014","fragmented","alphaC2",4.03878501509157
"226","Montgomery_2014","fragmented","beta_C",1.82771009299169
"227","Montgomery_2014","fragmented","gamma_2_q0",19.6070963546403
"228","Montgomery_2014","fragmented","gamma_2_q2",7.43880540337608
"229","Montgomery_2014","continuous","gamma_2_q0",27.1860630185238
"230","Montgomery_2014","continuous","gamma_2_q2",6.70074825884146
"231","Nemesio_2010","continuous","alphaC",6.30649353278415
