refshort,patch_type,diversity_index,q_order,diversity_value,sd,n_pairs,habitat_amount,number_patches
Soto_2022,fragmented,gamma,q = 2,3.982916481,0.887358577,55,36.8754,300
Soto_2022,fragmented,beta,q = 0,1.903520138,0.286058231,55,36.8754,300
Soto_2022,fragmented,beta,q = 2,1.637550621,0.331719617,55,36.8754,300
Struebig_2008,continuous,alpha,q = 0,8.949401518,0.906499628,36,99.7969,1
Struebig_2008,continuous,alpha,q = 2,5.867933305,1.177131542,36,99.7969,1
Struebig_2008,continuous,gamma,q = 0,13.88050067,1.041564751,36,99.7969,1
Struebig_2008,continuous,gamma,q = 2,8.182608186,1.429969692,36,99.7969,1
Struebig_2008,continuous,beta,q = 0,1.550997644,0.141271202,36,99.7969,1
Struebig_2008,continuous,beta,q = 2,1.394461689,0.24617638,36,99.7969,1
Struebig_2008,fragmented,alpha,q = 0,8.13606122,1.571167423,45,79.26335,32.5
Struebig_2008,fragmented,alpha,q = 2,5.330479123,1.180818685,45,79.26335,32.5
Struebig_2008,fragmented,gamma,q = 0,13.48549518,1.757620248,45,79.26335,32.5
Struebig_2008,fragmented,gamma,q = 2,7.805259436,1.507116639,45,79.26335,32.5
Struebig_2008,fragmented,beta,q = 0,1.657496769,0.348606967,45,79.26335,32.5
Struebig_2008,fragmented,beta,q = 2,1.464269769,0.355061878,45,79.26335,32.5
Uehara_Prado_2007,continuous,alpha,q = 0,21.72517156,1.07179972,6,92.89455,7
Uehara_Prado_2007,continuous,alpha,q = 2,7.059773258,1.555957937,6,92.89455,7
Uehara_Prado_2007,continuous,gamma,q = 0,38.46871203,2.032211885,6,92.89455,7
Uehara_Prado_2007,continuous,gamma,q = 2,8.378301467,1.937294601,6,92.89455,7
Uehara_Prado_2007,continuous,beta,q = 0,1.770697733,0.119270426,6,92.89455,7
Uehara_Prado_2007,continuous,beta,q = 2,1.186766368,0.222781889,6,92.89455,7
Uehara_Prado_2007,fragmented,alpha,q = 0,22.6766337,2.433556337,10,49.5659,66
Uehara_Prado_2007,fragmented,alpha,q = 2,7.193315622,1.661964547,10,49.5659,66
Uehara_Prado_2007,fragmented,gamma,q = 0,39.88150682,2.739310414,10,49.5659,66
Uehara_Prado_2007,fragmented,gamma,q = 2,8.091559212,1.539652123,10,49.5659,66
Uehara_Prado_2007,fragmented,beta,q = 0,1.758704901,0.214541232,10,49.5659,66
Uehara_Prado_2007,fragmented,beta,q = 2,1.124871984,0.248335101,10,49.5659,66
Vasconcelos_2006,continuous,alpha,q = 0,23.9581587,3.357184059,28,82.95295,5
Vasconcelos_2006,continuous,alpha,q = 2,14.01319218,4.673099087,28,82.95295,5
Vasconcelos_2006,continuous,gamma,q = 0,38.79534351,3.13078373,28,82.95295,5
Vasconcelos_2006,continuous,gamma,q = 2,18.72585613,4.876503249,28,82.95295,5
Vasconcelos_2006,continuous,beta,q = 0,1.619295706,0.281595555,28,82.95295,5
Vasconcelos_2006,continuous,beta,q = 2,1.336301957,0.697413549,28,82.95295,5
Vasconcelos_2006,fragmented,alpha,q = 0,23.94806842,3.107512923,325,42.95585,27
Vasconcelos_2006,fragmented,alpha,q = 2,14.50204281,3.351979613,325,42.95585,27
Vasconcelos_2006,fragmented,gamma,q = 0,38.3329878,3.661340936,325,42.95585,27
Vasconcelos_2006,fragmented,gamma,q = 2,19.54391234,4.01544222,325,42.95585,27
Vasconcelos_2006,fragmented,beta,q = 0,1.600671383,0.16851389,325,42.95585,27
Vasconcelos_2006,fragmented,beta,q = 2,1.34766616,0.272011647,325,42.95585,27
