"","id","model","term","Estimate","Std. Error","z value","Pr(>|z|)"
"1",1,"Alpha (all pairs)","(Intercept)",2.87413556806131,0.154180370250689,18.6413845250736,1.4835100650893e-77
"2",2,"Alpha (all pairs)","patch_typefragmented",-0.188473614008107,0.0595040510949015,-3.16740810986995,0.00153804308440007
"3",1,"Beta (all pairs)","(Intercept)",1.42728810822512,0.034833766624815,40.9742685480458,0
"4",2,"Beta (all pairs)","patch_typefragmented",0.0995346504266591,0.0390725035602885,2.54743467546373,0.010851816825218
"5",1,"Gamma (all pairs)","(Intercept)",3.22102225162648,0.155412850397165,20.725585068384,2.03637387798052e-95
"6",2,"Gamma (all pairs)","patch_typefragmented",-0.122589904978043,0.0613781066369123,-1.99729042968422,0.0457936423899126
"7",1,"Alpha (all pairs) - q = 0","(Intercept)",2.34656549928859,0.172645392462076,13.5918223233443,4.47790585346003e-42
"8",2,"Alpha (all pairs) - q = 0","patch_typefragmented",-0.124263796135179,0.0293219790494565,-4.23790617698713,2.25614008515864e-05
"9",1,"Beta (all pairs) - q = 0","(Intercept)",1.67843705808108,0.0424325794271713,39.5553859967869,0
"10",2,"Beta (all pairs) - q = 0","patch_typefragmented",0.0268325704594593,0.0227383910103981,1.18005581165303,0.237978017882504
"11",1,"Gamma (all pairs) - q = 0","(Intercept)",2.85154973615614,0.172081005862164,16.5709731987516,1.12982330897556e-61
"12",2,"Gamma (all pairs) - q = 0","patch_typefragmented",-0.104319061333251,0.0314391810362116,-3.31812273395725,0.000906246539864085
"13",1,"Alpha (all pairs) - q = 2","(Intercept)",1.81323066348579,0.140981450982097,12.8614839105042,7.41395726420079e-38
"14",2,"Alpha (all pairs) - q = 2","patch_typefragmented",-0.180682702590809,0.0477438877496859,-3.78441536931599,0.000154070323048867
"15",1,"Beta (all pairs) - q = 2","(Intercept)",1.38665440608108,0.0429685390843216,32.2713882210402,1.76336172267259e-228
"16",2,"Beta (all pairs) - q = 2","patch_typefragmented",0.0129058607837838,0.0266179996215148,0.484854646002485,0.627779456250254
"17",1,"Gamma (all pairs) - q = 2","(Intercept)",2.12301490260122,0.146043532722161,14.5368635161691,7.07613249260439e-48
"18",2,"Gamma (all pairs) - q = 2","patch_typefragmented",-0.170539742214452,0.0588844829405196,-2.89617457262413,0.00377742200178179
"19",1,"Alpha (nearest pairs)","(Intercept)",2.83889711870644,0.158995895309325,17.8551598026062,2.63525370164519e-71
"20",2,"Alpha (nearest pairs)","patch_typefragmented",-0.211497975716374,0.0512808973891814,-4.12430332705124,3.71858577900381e-05
"21",1,"Beta (nearest pairs)","(Intercept)",1.4640574662973,0.0359443891391117,40.7311822891499,0
"22",2,"Beta (nearest pairs)","patch_typefragmented",0.0295503754324325,0.0329907008873808,0.895718327819333,0.370403219239325
"23",1,"Gamma (nearest pairs)","(Intercept)",38.972972972973,5.2809835297873,7.37987019901626,1.58443926969289e-13
"24",2,"Gamma (nearest pairs)","patch_typefragmented",-8.89189189189189,3.04194501659332,-2.92309421879359,0.00346571628067812
"25",1,"Alpha (nearest pairs) - q = 0","(Intercept)",2.34234338333872,0.172547766696054,13.5750431789986,5.6310509670586e-42
"26",2,"Alpha (nearest pairs) - q = 0","patch_typefragmented",-0.121116761146936,0.0296882902487486,-4.07961388588356,4.5110565638575e-05
"27",1,"Beta (nearest pairs) - q = 0","(Intercept)",1.82476626171371,0.0713264666399797,25.5832981454726,2.34064898899987e-144
"28",2,"Beta (nearest pairs) - q = 0","patch_typefragmented",-0.00146191389340195,0.0260359761750092,-0.0561497630653534,0.955222501245123
"29",1,"Gamma (nearest pairs) - q = 0","(Intercept)",2.91719708234683,0.169524291957196,17.2081360651452,2.30739712698543e-66
"30",2,"Gamma (nearest pairs) - q = 0","patch_typefragmented",-0.116903228347113,0.0325519924442462,-3.59127720207421,0.000329061412232012
"31",1,"Alpha (nearest pairs) - q = 2","(Intercept)",1.805609067583,0.140396577211588,12.8607769750812,7.48207867150434e-38
"32",2,"Alpha (nearest pairs) - q = 2","patch_typefragmented",-0.177435173801986,0.0480496575391076,-3.69274585687883,0.000221845696750606
"33",1,"Beta (nearest pairs) - q = 2","(Intercept)",1.43174343640194,0.0610404345516055,23.4556560240655,1.15740917590532e-121
"34",2,"Beta (nearest pairs) - q = 2","patch_typefragmented",-0.0115518876485514,0.025577665571385,-0.451639639134038,0.651528608925961
"35",1,"Gamma (nearest pairs) - q = 2","(Intercept)",2.13739193183735,0.144713081752971,14.7698598215601,2.29189131582401e-49
"36",2,"Gamma (nearest pairs) - q = 2","patch_typefragmented",-0.184906959552935,0.0573396326361201,-3.22476707736101,0.00126075198068903
